Chromosome	Position start (hg38)	Position end (hg38)	Length of DMR (base pairs)	Number of CpGs in DMR	CpG island position	Chromatin state in male skeletal muscle	Chromatin state in female skeletal muscle	Annotated gene(s)	Maximum effect size in DMR	Mean effect size in DMR	Stouffer score	Harmonic mean of the individual component FDRs	Fisher multiple comparison statistic
chr12	50986841	50987351	511	2	Open sea	Flanking Active TSS;Genic enhancers	Flanking Active TSS	SLC11A2	-0.0066	-0.0043	3.11578058538917e-07	2.8909539686664e-09	4.50507984689381e-09
chr3	113966081	113966383	303	2	Open sea	Weak transcription	Quiescent/Low	KIAA1407	-0.0079	-0.00665	1.78649459029674e-09	4.95415079199197e-06	4.54013684166841e-09
chr8	100949367	100949889	523	3	Shore	Enhancers;Flanking Active TSS	Flanking Active TSS	YWHAZ	-0.0068	-0.00563333333333333	8.09996616934685e-10	0.000116552036936793	4.54513629496466e-09
chr13	43356225	43356781	557	4	Open sea	Quiescent/Low	Quiescent/Low	ENOX1	0.006	0.003925	4.0195587092232e-07	2.44214595845668e-07	4.56003538933269e-09
chr16	90010357	90011547	1191	5	Open sea	Enhancers;Flanking Active TSS	Weak transcription;Enhancers;Flanking Active TSS	DBNDD1	-0.0057	-0.00214	9.02848376266239e-08	1.78424287046791e-06	4.56342591761142e-09
chr1	155971097	155971214	118	2	Open sea	Enhancers	Enhancers	ASH1L;YY1AP1;GON4L;RIT1;KHDC4;ARHGEF2;ENSG00000273002	0.0076	0.00595	1.83090204388144e-09	4.49943203277531e-06	4.56903437693168e-09
chr1	223733655	223733958	304	2	Open sea	Enhancers	Enhancers;Genic enhancers	CAPN2	0.0049	0.00435	2.98120837235523e-09	7.83290240344618e-07	4.61155871340919e-09
chr16	87466318	87466370	53	2	Open sea	Enhancers	Enhancers	MAP1LC3B;ZCCHC14	0.0057	0.00465	1.03263456729309e-08	7.22489047486352e-08	4.63054160954052e-09
chr19	8482616	8482922	307	2	Shelf	Genic enhancers;Strong transcription	Genic enhancers;Strong transcription	HNRNPM	-0.0055	-0.00495	2.94986094582105e-09	8.23525895158452e-07	4.64004468768996e-09
chr12	124445043	124446103	1061	6	Shore;Island	Genic enhancers	Weak transcription;Strong transcription	NCOR2	0.007	0.00446666666666667	9.36900662650208e-10	0.000452197187955163	4.65169406810268e-09
chr16	30063221	30064225	1005	8	Shore	Flanking Active TSS	Enhancers;Flanking Active TSS;Active TSS	ALDOA	-0.0069	-0.00225	3.02485185569056e-06	1.13421162915812e-05	4.66409489178539e-09
chr6	35728522	35729407	886	4	Shore	Flanking Active TSS;Enhancers	Flanking Active TSS	FKBP5	-0.0055	-0.0042	1.11954033766951e-08	1.44518765357292e-05	4.66676044593523e-09
chr2	176162314	176163433	1120	9	Shore;Island	Bivalent/Poised TSS;Flanking Bivalent TSS/Enh;Repressed PolyComb;Bivalent Enhancer	Flanking Bivalent TSS/Enh;Repressed PolyComb	AC009336.19;HOXD3	-0.0048	-0.00285555555555556	2.47722208236416e-09	0.00158984782119332	4.67091990581126e-09
chr7	739294	739825	532	5	Shore	Enhancers;Genic enhancers	Enhancers;Weak transcription	DNAAF5	-0.017	-0.00686	9.54411572588558e-06	4.26782296848172e-07	4.68661839647663e-09
chr19	45876504	45876875	372	4	Open sea	Repressed PolyComb;Flanking Bivalent TSS/Enh;Bivalent/Poised TSS	Weak Repressed PolyComb		0.0053	0.003975	2.13202572421417e-09	7.64215965604109e-05	4.69325657105142e-09
chr10	91628947	91629328	382	2	Shelf	Transcr. at gene 5' and 3'	Transcr. at gene 5' and 3'	PPP1R3C	-0.0063	-0.00555	9.85675698403426e-09	7.97577500973627e-08	4.69710449040234e-09
chr5	141638107	141638801	695	5	Island;Shore	Flanking Bivalent TSS/Enh;Bivalent Enhancer;Repressed PolyComb	Flanking Bivalent TSS/Enh;Bivalent Enhancer;Repressed PolyComb	HDAC3;RELL2	0.0046	0.00222	2.26145692153492e-08	5.30964229038006e-06	4.71384286621151e-09
chr4	3484652	3485708	1057	5	Island;Shore	Flanking Bivalent TSS/Enh;Bivalent Enhancer	Flanking Active TSS;Enhancers	DOK7	0.0074	0.00376	5.85881196244302e-10	0.000464335075922755	4.72511116137938e-09
chr9	123111282	123111720	439	2	Open sea	Enhancers	Enhancers		-0.0048	-0.00215	0.000173445946713248	4.62758399878241e-10	4.744003449268e-09
chr8	11588703	11589426	724	2	Open sea	Enhancers;Flanking Active TSS	Enhancers;Flanking Active TSS		-0.0044	-0.00405	5.74009998037133e-09	2.01333023588071e-07	4.76762234415629e-09
chr1	44776400	44778287	1888	9	Shore;Shelf	Transcr. at gene 5' and 3';Genic enhancers;Strong transcription	Flanking Active TSS;Genic enhancers	SNORD46;SNORD38A;RPS8;RP11-269F19.2;SNORD38B	-0.0073	2e-04	1.08824378530656e-05	0.000101136524006943	4.76782840961711e-09
chr17	77474484	77475408	925	10	Open sea	Enhancers	Enhancers	SEPT9	0.0054	0.00282	1.6994176389765e-05	6.80234412827803e-06	4.78317317061768e-09
chr19	47725851	47726246	396	3	Island	Genic enhancers	Enhancers	NOP53	0.0062	0.00516666666666667	9.2237103892667e-10	8.56682830925847e-05	4.84048476157105e-09
chr3	134315711	134315755	45	2	Shore;Shelf	Enhancers	Enhancers	ANAPC13	0.0071	0.00685	1.68288744463478e-09	1.39933640430009e-05	4.89035672480625e-09
chr16	68247282	68248075	794	3	Shore;Shelf	Transcr. at gene 5' and 3'	Flanking Active TSS	PLA2G15	-0.005	-0.00296666666666667	7.36932279568844e-07	1.06181901481977e-08	4.90905099036627e-09
chr19	48670474	48671133	660	3	Island;Shore	Quiescent/Low	Quiescent/Low	SEC1P;NTN5	0.0097	0.00343333333333333	2.23385950767356e-07	4.86812461238836e-08	4.92233301102602e-09
chr16	89623348	89623853	506	3	Open sea	Repressed PolyComb;Bivalent Enhancer	Repressed PolyComb;Bivalent Enhancer	DPEP1	0.0059	0.00323333333333333	9.72118611759872e-06	1.20808116738338e-08	4.92582915466246e-09
chr14	68638716	68639330	615	3	Open sea	Enhancers	Flanking Active TSS;Enhancers	RAD51B;LOC100996664	0.0047	0.004	1.27681047310948e-09	3.03915389400971e-05	4.93993521394569e-09
chr7	1567222	1568150	929	7	Shelf;Shore	Genic enhancers	Genic enhancers;Transcr. at gene 5' and 3'	PSMG3;PSMG3-AS1	-0.0047	-0.00278571428571429	8.83897672645778e-06	1.12390514469585e-05	4.95873663331387e-09
chr12	121580991	121582812	1822	13	Shore;Shelf	Flanking Active TSS;Enhancers	Flanking Active TSS;Enhancers	RP13-941N14.1;KDM2B	-0.0043	-0.00245384615384615	1.59347830764309e-08	0.00133070571484797	4.96119982986416e-09
chr3	58007664	58008644	981	11	Shore;Island	Quiescent/Low;Enhancers;Active TSS;Flanking Bivalent TSS/Enh	Quiescent/Low;Active TSS;Flanking Bivalent TSS/Enh	FLNB	0.0057	0.00228181818181818	0.000189685219620659	1.0302485899969e-05	4.97384177889844e-09
chr4	48482620	48484136	1517	12	Shore;Island	Repressed PolyComb;Bivalent/Poised TSS;Flanking Bivalent TSS/Enh	Repressed PolyComb;Bivalent/Poised TSS	SLC10A4	0.0037	0.00210833333333333	1.38765674320565e-07	0.000307932686467643	4.97627849705485e-09
chr11	2658896	2659623	728	3	Open sea	Enhancers;Quiescent/Low	Enhancers;Quiescent/Low	KCNQ1OT1;KCNQ1	-0.0089	-0.00496666666666667	2.01141150706487e-05	1.92866924372298e-08	4.97928230506539e-09
chr16	70379153	70379342	190	5	Shore	Weak transcription;Enhancers	Enhancers	ST3GAL2;RP11-529K1.4	-0.0074	-0.00466	1.71958089840552e-08	0.00016084561400192	4.98405111972376e-09
chr6	129489807	129490696	890	4	Open sea	Enhancers;Flanking Active TSS	Weak transcription	LAMA2	0.0078	0.001525	5.18694765763088e-08	4.58437450802145e-05	4.98968221752216e-09
chr16	2496263	2497557	1295	6	Island;Shore	Weak transcription;Genic enhancers;Flanking Active TSS	Weak transcription;Enhancers;Flanking Active TSS	TBC1D24;RP11-20I23.1	0.0047	0.003	3.68402604256036e-07	6.19474179636511e-06	5.01276499966103e-09
chr7	69773107	69773706	600	2	Open sea	Weak transcription;Enhancers	Quiescent/Low;Enhancers	AUTS2	-0.0096	-0.00745	3.10400410699206e-09	9.37500762438914e-07	5.01914879918319e-09
chr5	132227154	132228985	1832	14	Shore;Island	Flanking Active TSS;Active TSS;Enhancers	Flanking Active TSS;Active TSS;Quiescent/Low	P4HA2	0.0059	0.00202142857142857	0.000215998765856784	1.65684471435395e-06	5.0255807587632e-09
chr5	141409679	141410177	499	2	Island	ZNF genes & repeats	Flanking Active TSS;Active TSS	PCDHGB5;PCDHGA6;PCDHGB6;PCDHGA7;PCDHGA8;PCDHGA9;PCDHGA1;PCDHGB1;PCDHGA2;PCDHGB2;PCDHGA3;PCDHGB3;PCDHGA4;PCDHGB4;PCDHGA5	0.0053	0.004	7.19238128371398e-09	1.53809094103052e-07	5.02985770509934e-09
chr16	88908431	88908850	420	4	Shore	Enhancers;Flanking Active TSS	Enhancers;Weak transcription	CBFA2T3	0.0049	0.003325	3.24698221814276e-07	4.5329246192361e-05	5.03061731056161e-09
chr1	247517799	247518628	830	10	Shore;Island	Heterochromatin	Repressed PolyComb	GCSAML	0.0127	0.00482	7.86417525094185e-09	0.00102999481419845	5.03583906800771e-09
chr17	1998389	1998901	513	3	Island	Active TSS;Flanking Active TSS	Active TSS;Flanking Active TSS	RTN4RL1;CTD-2545H1.2	-0.007	0.000433333333333333	1.84171626961191e-08	2.48413509743393e-06	5.04013021006443e-09
chr15	59283897	59284027	131	2	Open sea	Quiescent/Low	Quiescent/Low	MYO1E	0.0083	0.00565	2.01207543696319e-07	4.49785589509337e-09	5.04209266566969e-09
chr3	8733090	8733914	825	7	Open sea	Enhancers;Flanking Active TSS;Active TSS	Enhancers;Flanking Active TSS;Active TSS	CAV3;SSUH2	-0.0045	-0.00338571428571429	1.49801701758636e-09	0.00083234737268943	5.05474882872693e-09
chr5	77080440	77080578	139	2	Shelf	Weak transcription	Weak transcription	SNORA47;ZBED3	-0.008	-0.00365	6.29615497364437e-05	5.58812999800349e-10	5.07904369924704e-09
chr3	48918209	48918384	176	3	Shore;Island	Flanking Active TSS;Active TSS	Flanking Active TSS	ARIH2OS;ARIH2	-0.0084	-0.0038	4.4888587353013e-05	2.884557298506e-10	5.08416895325048e-09
chr13	113666573	113667433	861	11	Open sea	Repressed PolyComb	Repressed PolyComb	GRK1	0.0048	0.00130909090909091	0.000604650133731042	3.81579347623033e-05	5.09482832482132e-09
chr1	212482955	212483413	459	2	Open sea	Flanking Active TSS;Flanking Bivalent TSS/Enh	Weak Repressed PolyComb		-0.0087	-0.00595	1.95526877331767e-09	6.31957737233046e-06	5.10838355269647e-09
chr3	27456669	27457167	499	2	Open sea	Active TSS;Enhancers;Weak transcription	Quiescent/Low	SLC4A7	-0.0068	-0.00625	9.866300550408e-09	9.68782913209585e-08	5.13396933397221e-09
chr9	33140270	33140867	598	2	Open sea	Flanking Active TSS	Enhancers	B4GALT1	0.0057	0.00535	1.52631697120415e-08	5.2422977075046e-08	5.13590858601977e-09
chr13	75876539	75876867	329	2	Open sea	Enhancers	Enhancers		-0.0083	-0.0056	4.45528632405941e-08	1.58903754908403e-08	5.16686205446437e-09
chr13	40480764	40481450	687	5	Open sea	Enhancers	Weak transcription	LINC00598	0.0063	0.00348	1.43208340849977e-07	9.01789722943961e-07	5.17819299079833e-09
chr20	44161624	44162056	433	2	Shore	Genic enhancers	Enhancers		-0.0036	-0.00325	6.18048598664049e-08	1.17762061706971e-08	5.1830949510743e-09
chr1	20946665	20947111	447	2	Open sea	Quiescent/Low	Weak transcription	EIF4G3	-0.0078	-0.0055	2.27287855019284e-08	3.29731400562078e-08	5.20945156463218e-09
chr11	67270777	67272651	1875	6	Shelf;Open sea	Flanking Active TSS;Transcr. at gene 5' and 3'	Flanking Active TSS;Enhancers	ADRBK1	0.0036	0.00238333333333333	1.13640896173453e-07	0.000137058820768743	5.21588740157317e-09
chr17	40510563	40511579	1017	3	Open sea	Enhancers;Flanking Active TSS	Enhancers	TNS4	-0.006	-0.0049	4.95119250300446e-09	7.3816829556281e-06	5.25540511956675e-09
chr5	98937761	98937853	93	2	Open sea	Enhancers	Enhancers		-0.0117	-0.0087	7.99626561744103e-09	1.44514105514415e-07	5.28229097434801e-09
chr12	40225479	40226356	878	2	Shore	Active TSS	Active TSS	AC079630.4;LRRK2	-0.0055	-0.0051	2.01989515191279e-09	6.86808834625957e-06	5.32371538278808e-09
chr18	46153676	46153839	164	2	Open sea	Flanking Active TSS;Enhancers	Flanking Active TSS;Enhancers	C18orf25	-0.0064	-0.00575	1.62498763627942e-08	5.20977861978913e-08	5.33097224276143e-09
chr15	57218085	57219061	977	5	Open sea	Weak transcription;Enhancers	Enhancers	TCF12	0.007	0.00464	5.55090062406779e-08	5.49955050560048e-05	5.3551396429365e-09
chr11	108474794	108474958	165	3	Open sea	Weak transcription	Strong transcription	KDELC2	-0.0061	-0.0043	3.34661762729459e-08	9.10577600121706e-07	5.38425042375414e-09
chr12	57219186	57220398	1213	9	Shore;Shelf	Repressed PolyComb	Repressed PolyComb	NXPH4	0.0063	0.00336666666666667	4.51686860524971e-08	1.2061851415068e-06	5.38772203854889e-09
chr12	5368725	5369115	391	3	Open sea	Enhancers	Quiescent/Low;Enhancers	RP11-1038A11.2;RP11-1038A11.3	-0.0076	-0.00193333333333333	0.00355265524986246	7.04960699959946e-11	5.39072429189932e-09
chr17	77322128	77322799	672	4	Open sea	Flanking Active TSS	Flanking Active TSS	SEPT9	0.0062	0.003125	1.05289068942917e-07	4.07446468372002e-08	5.4290514831591e-09
chr7	98178386	98178428	43	2	Open sea	Flanking Active TSS	Flanking Active TSS	LMTK2	-0.011	-0.0071	5.98613212317877e-09	2.62123043204099e-07	5.44682747929699e-09
chr8	48682974	48683177	204	3	Open sea	Weak transcription;Enhancers	Quiescent/Low	RP11-770E5.1	0.0045	0.00363333333333333	1.63004158895202e-09	4.77436953460467e-05	5.44924111234259e-09
chr4	1985055	1985555	501	5	Shore	Strong transcription	Strong transcription	NELFA	0.0052	0.00164	1.20080221704657e-05	4.27046531718513e-09	5.45314851144781e-09
chr8	42434813	42435405	593	3	Shore	Strong transcription	Strong transcription	SLC20A2	-0.0093	-0.00483333333333333	3.82406305247072e-06	4.38227667095264e-07	5.45829540740766e-09
chr10	101139504	101140733	1230	8	Island;Shore	Repressed PolyComb;Bivalent Enhancer	Repressed PolyComb		0.0074	0.0037375	2.10980263085382e-09	0.000120395446495075	5.47728957566062e-09
chr17	21283476	21284107	632	3	Shore	Flanking Active TSS	Enhancers;Flanking Active TSS	MAP2K3	-0.0054	-0.0041	6.24886369859233e-09	5.63942914236135e-06	5.48072908727138e-09
chr4	8143386	8143964	579	2	Open sea	Flanking Active TSS	Flanking Active TSS	ABLIM2	-0.0047	-0.0042	1.0700487123433e-08	9.97170956328648e-08	5.49756668729696e-09
chr10	63520712	63521347	636	9	Shore;Island	Flanking Active TSS;Active TSS	Flanking Active TSS;Active TSS	REEP3	-0.0075	-0.00104444444444444	0.000252863900871453	3.54548159862589e-11	5.52444018535092e-09
chr11	17351126	17352579	1454	11	Shore;Island	Repressed PolyComb;Flanking Bivalent TSS/Enh;Bivalent/Poised TSS	Repressed PolyComb;Flanking Bivalent TSS/Enh;Bivalent/Poised TSS	NCR3LG1	0.0055	0.00281818181818182	5.0009990261741e-07	4.26046833804159e-06	5.60648753474495e-09
chr16	3654317	3654676	360	4	Open sea	Genic enhancers	Enhancers;Genic enhancers	DNASE1	0.0039	0.0013	3.57553759006159e-06	2.59598052983819e-08	5.6183024936521e-09
chr10	86536413	86537051	639	6	Island;Shore	Weak transcription;Enhancers	Weak transcription;Enhancers		0.005	0.00288333333333333	6.98049239655096e-06	3.17521552692494e-06	5.627952168061e-09
chr14	72679345	72679928	584	4	Open sea	Enhancers	Enhancers	DPF3	0.0064	0.003125	1.27630589634831e-05	1.29682438458022e-09	5.63681196434782e-09
chr14	34930613	34931327	715	2	Open sea	Quiescent/Low	Quiescent/Low	SRP54-AS1	0.0059	0.0058	3.32231626246145e-09	1.17667726922271e-06	5.65328092233193e-09
chr8	20268307	20268796	490	3	Open sea	Bivalent Enhancer;Flanking Bivalent TSS/Enh	Enhancers;Flanking Active TSS	RNU6-892P;LZTS1	0.0052	0.00446666666666667	1.65797502757382e-07	2.10054016863916e-08	5.67203117529152e-09
chr1	156511231	156511854	624	2	Open sea	Enhancers	Flanking Active TSS;Enhancers	RP11-284F21.8;ENSG00000260460	-0.0114	-0.00805	2.05540336787615e-08	4.38803139467718e-08	5.67700861050583e-09
chr20	4091339	4091782	444	2	Open sea	Quiescent/Low;Enhancers	Quiescent/Low		-0.0074	-0.0022	1.69008215429114e-08	5.6928073318547e-08	5.71260597819459e-09
chr6	100447173	100448883	1711	10	Island;Shore	Repressed PolyComb;Bivalent Enhancer;Bivalent/Poised TSS	ZNF genes & repeats;Strong transcription	SIM1	0.0051	0.00326	4.87980296299066e-10	0.0033823697004671	5.71640639734445e-09
chr4	176065181	176066425	1245	14	Shore;Island	Quiescent/Low;Flanking Active TSS;Active TSS;Flanking Bivalent TSS/Enh	Quiescent/Low;Flanking Bivalent TSS/Enh;Bivalent/Poised TSS	WDR17	0.0104	0.00227142857142857	0.00138825958896017	1.87510399927987e-11	5.7331564458742e-09
chr22	30574544	30575327	784	2	Shore;Island	Enhancers;Bivalent Enhancer	Enhancers	PES1;GAL3ST1	0.0083	0.006	9.89468226143437e-09	1.24587037103176e-07	5.75176809021528e-09
chr8	10350381	10351089	709	6	Open sea	Active TSS;Flanking Active TSS;NA	Enhancers;Flanking Active TSS;NA	MSRA	-0.0053	-0.00216666666666667	1.5477869524168e-08	0.000355409561298347	5.75968336604028e-09
chr20	62296774	62296862	89	2	Open sea	Strong transcription	Strong transcription		-0.0131	-0.0088	2.61703304803385e-09	2.93515664602824e-06	5.76954085874414e-09
chr3	149541373	149542146	774	3	Open sea	Weak transcription	Weak transcription;Strong transcription	WWTR1	0.0098	0.0068	2.09835289809993e-07	6.53738235867938e-06	5.81477307949114e-09
chr4	145909593	145909901	309	2	Open sea	Active TSS;Flanking Active TSS	Flanking Active TSS	ZNF827	-0.0061	-0.00515	6.64350644081635e-09	2.54827969625849e-07	5.81761796095875e-09
chr13	97338802	97339635	834	5	Open sea	Genic enhancers;Flanking Active TSS	Genic enhancers;Transcr. at gene 5' and 3';Enhancers	MBNL2	-0.0066	-0.0034	1.87575468628904e-08	8.85660030437951e-05	5.84753028366614e-09
chr22	39475934	39477403	1470	6	Open sea	Weak transcription;Enhancers	Weak transcription	MGAT3;MGAT3-AS1	0.0051	0.0037	1.03794524709641e-09	0.00238007140154651	5.85804334486468e-09
chr1	226985951	226986374	424	2	Open sea	Genic enhancers	Genic enhancers	COQ8A	-0.0081	-0.0052	1.78783850592941e-06	1.70495499511973e-09	5.86323160625272e-09
chr6	52575630	52576269	640	3	Shore	Flanking Active TSS	Flanking Active TSS	TRAM2;TRAM2-AS1	0.0059	0.00243333333333333	7.25296496152262e-08	1.55953906655251e-07	5.86999563987478e-09
chr3	195093824	195094842	1019	7	Open sea	Enhancers	Quiescent/Low;Enhancers	XXYLT1;XXYLT1-AS1	-0.0079	-0.00288571428571429	0.000874609854645667	3.76388454198512e-07	5.88696734145487e-09
chr2	70084851	70085753	903	5	Shore	Genic enhancers;Flanking Active TSS	Enhancers;Flanking Active TSS	C2orf42;PCBP1-AS1	-0.0075	-0.0043	4.45530871063078e-07	7.26302051741992e-06	5.88729939468561e-09
chr13	111275594	111275608	15	2	Open sea	Strong transcription	Strong transcription	ARHGEF7	0.0064	0.0055	4.88254088599917e-09	4.98557333187361e-07	5.89176901069472e-09
chr3	122565673	122566162	490	4	Shore	Weak transcription;Strong transcription	Weak transcription;Strong transcription	DTX3L;PARP9	0.0068	0.00455	2.43338189532352e-07	2.01562788331499e-05	5.89447002329737e-09
chr8	22737793	22738232	440	3	Open sea	Weak transcription	Weak transcription	PEBP4;RP11-459E5.1	0.0058	0.00406666666666667	5.04128865884587e-07	1.13211386279381e-06	5.89671329284552e-09
chr12	124338087	124338712	626	3	Shore	Strong transcription	Strong transcription	NCOR2;MIR6880	-0.0061	-0.00436666666666667	8.38937771338684e-09	6.36464159708139e-07	5.9213668875663e-09
chr8	141275045	141275271	227	4	Open sea	Weak Repressed PolyComb	Weak transcription	SLC45A4	0.007	0.004275	8.8832562419438e-08	2.1122274870308e-06	5.9418111549689e-09
chr5	88731740	88731895	156	2	Open sea	Strong transcription	Strong transcription	MEF2C	-0.0082	-0.00595	2.25909614639426e-07	5.3252158537707e-09	5.95804404298235e-09
chr1	33013379	33013927	549	2	Open sea	Strong transcription	Strong transcription	RP1-117O3.2;AK2	-0.0106	-0.0044	1.39847231606202e-06	1.93803479295735e-09	5.96291563310216e-09
chr2	42001884	42002038	155	3	Open sea	Quiescent/Low	Quiescent/Low		0.0066	0.00533333333333333	1.36612571772911e-09	7.38673629217616e-05	5.98456594844721e-09
chr1	179865334	179865673	340	4	Open sea	Strong transcription	Strong transcription	TOR1AIP2	-0.0094	-0.00395	4.51068308533555e-05	3.58503750244487e-06	6.01361770806632e-09
chr12	132904803	132904933	131	3	Shelf	Heterochromatin	Heterochromatin	CHFR	0.0065	0.00316666666666667	0.000100828015195665	3.15236699813339e-10	6.01877294564702e-09
chr22	46536168	46537192	1025	6	Island	Repressed PolyComb	Repressed PolyComb;Weak Repressed PolyComb	CELSR1	0.0091	0.00393333333333333	9.9660479167044e-06	1.23152018734337e-06	6.03798496750639e-09
chr11	116563814	116563824	11	2	Open sea	Flanking Active TSS	Flanking Active TSS		-0.0048	-0.00475	2.28270764448853e-09	7.68822331789102e-06	6.04105200196663e-09
chr22	19129443	19131025	1583	7	Shelf;Shore	Weak transcription	Weak transcription	TSSK2;AC004471.10;DGCR14	0.0045	0.00178571428571429	8.23591647097958e-07	3.76756124304826e-05	6.04713413937004e-09
chr3	11551174	11551225	52	2	Open sea	Weak transcription	Weak transcription	ATG7	0.0059	0.00375	9.17917953128799e-07	2.44211998627404e-09	6.11468407505268e-09
chr2	11129592	11130065	474	2	Open sea	Weak transcription;Flanking Active TSS	Weak Repressed PolyComb;Bivalent/Poised TSS	AC062028.1	0.0071	0.0051	8.86509855929007e-09	1.7693620305603e-07	6.18682150167672e-09
chr17	81418888	81420611	1724	7	Shore;Island	Bivalent Enhancer;Flanking Bivalent TSS/Enh	Flanking Active TSS;Enhancers	BAHCC1	0.0065	0.0038	4.34192002435786e-09	0.000163682715045692	6.19146637474012e-09
chr5	172904729	172905681	953	7	Open sea	Flanking Active TSS;Enhancers	Enhancers	ERGIC1;DUSP1;BNIP1;RPL26L1	-0.0084	-0.00241428571428571	6.12009093865762e-08	6.88279335560277e-07	6.22126948708874e-09
chr16	85527132	85527695	564	2	Open sea	Weak transcription	Weak transcription		0.0052	0.0051	2.62039314089525e-09	4.36017264260777e-06	6.23828413089205e-09
chr7	116911017	116911138	122	2	Open sea	Weak transcription	Weak transcription	Y_RNA;CAPZA2	-0.0087	-0.0034	1.2000801968312e-05	9.79567399136017e-10	6.26243037556497e-09
chr16	70480283	70481016	734	3	Open sea	Genic enhancers;Strong transcription	Genic enhancers;Strong transcription	COG4	-0.0049	-0.000833333333333333	8.30860334773996e-05	4.19842799592845e-10	6.26811077147925e-09
chr1	3493549	3494483	935	6	Open sea	Repressed PolyComb;Weak transcription	Weak transcription	MEGF6	0.0041	0.00295	1.51691175478473e-09	0.000152931066922714	6.27301174138348e-09
chr1	41021235	41022336	1102	8	Shelf;Open sea	Weak transcription;Enhancers	Weak transcription	SLFNL1;SLFNL1-AS1	0.0053	0.002175	1.85255149717875e-06	0.000113406262350253	6.27922369283856e-09
chr6	56820128	56820605	478	2	Open sea	Enhancers	Enhancers		-0.0062	-0.00545	2.63863157967818e-09	4.50916776540461e-06	6.31465111966086e-09
chr13	30906508	30907046	539	3	Island;Shore	Flanking Bivalent TSS/Enh	Flanking Bivalent TSS/Enh	TEX26-AS1;MEDAG	0.0036	-0.000533333333333333	4.5488912081408e-07	7.25764154946939e-09	6.34206458753598e-09
chr3	11136377	11137111	735	8	Open sea	Weak Repressed PolyComb;Bivalent Enhancer;Flanking Active TSS	Enhancers;Flanking Active TSS	HRH1	-0.005	-0.0022625	3.76795493012533e-07	0.000367090810135029	6.36906527659516e-09
chr17	1730419	1730968	550	4	Shelf	Enhancers;Transcr. at gene 5' and 3'	Flanking Active TSS	WDR81;RP11-961A15.1	-0.0037	-0.0027	1.74622198631482e-09	0.000164082497234089	6.37187042226369e-09
chr1	94094419	94095294	876	3	Open sea	Enhancers;Flanking Active TSS	Flanking Active TSS;Enhancers	ABCA4	0.0066	0.00476666666666667	6.10489804846544e-08	1.01507265252212e-05	6.40981594295155e-09
chr10	71845992	71846196	205	2	Open sea	Enhancers;Flanking Active TSS	Enhancers	VSIR;PSAP;RNU7-38P	-0.0093	-0.0078	3.08898276674909e-09	2.47824478355301e-06	6.4105941175602e-09
chr7	44486748	44487256	509	2	Shelf	Enhancers	Flanking Active TSS;Enhancers	NUDCD3	-0.0064	-0.0048	8.22349913379773e-08	1.30490420119439e-08	6.42604348153519e-09
chr20	63488138	63488763	626	2	Island	Strong transcription	Weak transcription;Genic enhancers	EEF1A2	0.0061	0.0045	4.76703795993609e-08	2.1747030804168e-08	6.43031724073282e-09
chr17	77212226	77212724	499	3	Shore	Genic enhancers	Genic enhancers	SEC14L1	0.0045	0.00266666666666667	2.96467357666499e-06	1.39722677987153e-08	6.43105015761438e-09
chr15	82808855	82809535	681	8	Shore	Flanking Active TSS;Active TSS	Flanking Active TSS;Active TSS	WHAMM	-0.006	-0.00315	5.46285941379082e-06	9.23823431215338e-06	6.48436066410605e-09
chr13	23902772	23903793	1022	6	Shore;Island	Repressed PolyComb;Bivalent/Poised TSS	Repressed PolyComb;Flanking Bivalent TSS/Enh	C1QTNF9B	0.0066	0.00261666666666667	2.7205808394039e-06	1.18606154064466e-05	6.51152078742153e-09
chr5	140177133	140177559	427	2	Shore	Flanking Active TSS	Active TSS	CYSTM1	-0.0062	-0.0057	2.51454404290418e-08	4.4841060437056e-08	6.51168158883703e-09
chr1	9907790	9908071	282	2	Shore	Enhancers	Weak transcription	CTNNBIP1	0.0059	0.00455	5.93323220203037e-08	1.80104428542565e-08	6.52326487684033e-09
chr16	83995851	83996066	216	4	Island	Repressed PolyComb	Weak Repressed PolyComb	NECAB2	0.0041	0.003875	7.38843633615936e-10	0.000503738547029722	6.53614849720745e-09
chr19	47778168	47779092	925	14	Shore;Island	Flanking Active TSS;Active TSS	Flanking Active TSS;Active TSS	SEPW1	0.0071	0.00447142857142857	4.45781433190405e-09	0.00240733231014108	6.55258319597665e-09
chr20	57437748	57438474	727	2	Open sea	Flanking Active TSS;Enhancers	Enhancers		-0.0094	-0.008	3.96112463447011e-09	1.20722506417221e-06	6.57139819518985e-09
chr3	46982112	46983198	1087	4	Shelf	Flanking Active TSS;Enhancers;Weak transcription	Flanking Active TSS;Enhancers	CCDC12;NBEAL2;BOLA2P2;SCAP	0.0044	0.002525	4.4950138904744e-08	8.55670903483003e-06	6.57755930568827e-09
chr10	125015006	125015538	533	2	Open sea	Flanking Active TSS;Enhancers	Enhancers	CTBP2	0.0071	0.006	4.75575797564506e-09	7.43243734240471e-07	6.5809509466504e-09
chr20	62149609	62150539	931	6	Open sea	Enhancers	Enhancers	SS18L1	-0.0096	-0.00341666666666667	5.46969586643153e-07	0.000694741945682421	6.59348054953561e-09
chr22	30972578	30972981	404	3	Shelf	Strong transcription	Genic enhancers	TUG1_3;TUG1_4;TUG1	-0.013	-0.00716666666666667	1.8230108837023e-06	2.09885996741399e-08	6.66612048643663e-09
